gsm_accession	cohort	score	r_case	r_control	n_probes_used
GSM1920348	discovery_control	-0.14528471343978744	0.8161984500409464	0.9614831634807338	7078
GSM1920349	discovery_control	-0.14512848688772417	0.8128954007564811	0.9580238876442053	7078
GSM1920350	discovery_control	-0.1486387473157671	0.8104338707041218	0.9590726180198889	7080
GSM1920351	discovery_control	-0.09804436140566797	0.8424577748156681	0.940502136221336	7078
GSM1920352	discovery_control	-0.12293974101982774	0.8367448221112007	0.9596845631310285	7068
GSM1920353	discovery_control	-0.14375210443503406	0.7854269525979164	0.9291790570329505	7083
GSM1920354	discovery_control	-0.14044549118658034	0.8027008869090125	0.9431463780955929	7079
GSM1920355	discovery_control	-0.13502516240568707	0.8092712475084484	0.9442964099141354	7076
GSM1920356	discovery_control	-0.1298889513313829	0.8318964913173063	0.9617854426486891	7072
GSM1920357	discovery_control	-0.12317331413848798	0.8377724707219527	0.9609457848604407	7066
GSM1920358	discovery_control	-0.13718094779904244	0.8252555507045023	0.9624364985035447	7081
GSM1920359	discovery_control	-0.1313419029624534	0.8296500007406786	0.960991903703132	7072
GSM1920360	discovery_control	-0.13835633128860847	0.8221598652327853	0.9605161965213938	7079
GSM1920361	discovery_control	-0.14662677448933759	0.8147130569325637	0.9613398314219013	7080
GSM1920362	discovery_control	-0.1425553968647898	0.8121893650745998	0.9547447619393896	7079
GSM1920363	discovery_control	-0.12106639108736872	0.8373168239795438	0.9583832150669125	7081
GSM1920364	discovery_control	-0.12363236245381615	0.8288744256872305	0.9525067881410466	7081
GSM1920365	discovery_control	-0.1392919269340247	0.8112717685714822	0.9505636955055069	7084
GSM1920366	discovery_control	-0.15346179795559	0.7987457672862825	0.9522075652418726	7081
GSM1920367	discovery_control	-0.1277042712251022	0.8261911015872341	0.9538953728123363	7083
GSM1920368	discovery_control	-0.1556368647762043	0.7970076383166973	0.9526445030929016	7081
GSM1920369	discovery_control	-0.1483374628467653	0.8025754240603388	0.9509128869071041	7083
GSM1920370	discovery_control	-0.14139444648836674	0.8233468875000981	0.9647413339884648	7080
GSM1920371	discovery_control	-0.13500178612908442	0.8215082983307467	0.9565100844598311	7081
GSM1920372	discovery_control	-0.15725097750259343	0.8062506161466858	0.9635015936492792	7077
GSM1920373	discovery_control	-0.11350454092982809	0.8413226089625477	0.9548271498923758	7061
GSM1920374	discovery_control	-0.13241385959201446	0.8261382371230702	0.9585520967150847	7079
GSM1920375	discovery_control	-0.13036259899533875	0.8315452251235622	0.961907824118901	7080
GSM1920376	discovery_control	-0.1502778010068594	0.8024195973499161	0.9526973983567755	7066
GSM1920377	discovery_control	-0.15518836815026493	0.8011516808112947	0.9563400489615597	7082
GSM1920378	discovery_control	-0.12987827782537376	0.8284456662176524	0.9583239440430261	7077
GSM1920379	discovery_control	-0.13387770462396742	0.8277801704079322	0.9616578750318996	7081
GSM1920380	discovery_control	-0.13560794209318017	0.8039476240300371	0.9395555661232172	7082
GSM1920381	discovery_control	-0.15744192483549213	0.8024166089607842	0.9598585337962763	7081
GSM1920382	discovery_control	-0.13187605862528118	0.823110417582521	0.9549864762078022	7074
GSM1920383	discovery_control	-0.15093779707858657	0.7964379869287213	0.9473757840073078	7080
GSM1920384	discovery_control	-0.1512993363862285	0.8101217901583144	0.9614211265445429	7078
GSM1920385	discovery_control	-0.14961616029113634	0.7796852129282137	0.92930137321935	7079
GSM1920386	discovery_control	-0.13279686626327192	0.8188959318595446	0.9516927981228165	7076
GSM1920387	discovery_control	-0.11934515734643558	0.8279197315401741	0.9472648888866096	7081
GSM1920388	discovery_control	-0.13503966452646055	0.8139077623587176	0.9489474268851782	7084
GSM1920389	discovery_control	-0.13447983177678235	0.8262031260101538	0.9606829577869361	7078
GSM1920390	discovery_control	-0.13308095348665827	0.8285817762725688	0.9616627297592271	7073
GSM1920391	discovery_control	-0.1456271132017103	0.8104276227249342	0.9560547359266445	7082
GSM1920392	discovery_control	-0.11410657313274541	0.8364435209286586	0.950550094061404	7079
GSM1920393	discovery_control	-0.1443311264383783	0.7930367532250393	0.9373678796634176	7077
GSM1920394	discovery_control	-0.14107169259276486	0.8211443627195875	0.9622160553123523	7079
GSM1920395	discovery_control	-0.14025659904075638	0.8062665432576696	0.9465231422984259	7076
GSM1920396	discovery_control	-0.12662409649237294	0.8305975568382714	0.9572216533306444	7081
GSM1920397	discovery_control	-0.1301880202871607	0.8276668357270944	0.9578548560142551	7077
GSM1920398	discovery_control	-0.11420840756345874	0.8297777442540708	0.9439861518175295	7078
GSM1920399	discovery_control	-0.13732871153849702	0.8198843351402874	0.9572130466787844	7079
GSM1920400	discovery_control	-0.13441278816559166	0.8211696818617564	0.9555824700273481	7077
GSM1920405	discovery_case	0.13976612318146564	0.9139699222870501	0.7742037991055845	7083
GSM1920406	discovery_case	0.14314262891930107	0.9288353818757251	0.785692752956424	7085
GSM1920407	discovery_case	0.13504332530173802	0.9452278231035479	0.8101844978018099	7077
GSM1920408	discovery_case	0.11538559688907024	0.923210964246273	0.8078253673572028	7077
GSM1920409	discovery_case	0.03099790892163501	0.8834922069830055	0.8524942980613704	7078
GSM1920410	discovery_case	0.12441058813048833	0.9400928642643271	0.8156822761338388	7081
GSM1920411	discovery_case	0.14868767529888238	0.9152741857468127	0.7665865104479304	7058
GSM1920412	discovery_case	0.15757532298590726	0.9363760247304516	0.7788007017445443	7078
GSM1920413	discovery_case	0.09466681167390278	0.9409493536183174	0.8462825419444147	7075
GSM1920414	discovery_case	0.14141738220666333	0.9555841183185904	0.814166736111927	7078
GSM1920415	discovery_case	0.02706712583658699	0.8810427984327808	0.8539756725961938	7068
GSM1920416	discovery_case	0.11816893017812025	0.9308217422219403	0.81265281204382	7079
GSM1920417	discovery_case	0.12960984072305637	0.9474074844135291	0.8177976436904727	7083
GSM1920418	discovery_case	0.12623230134242347	0.9172679557801046	0.7910356544376811	7076
GSM1920419	discovery_case	0.10532999454700687	0.9310542900623766	0.8257242955153697	7079
GSM1920420	discovery_case	0.10990597001079672	0.9141304962151369	0.8042245262043402	7082
GSM1920421	discovery_case	0.15747657963723127	0.8714547291212837	0.7139781494840525	7067
GSM1920422	discovery_case	0.132280704205604	0.9322980372093603	0.8000173330037563	7081
GSM1920423	discovery_case	0.13186343839440362	0.9338158161382344	0.8019523777438308	7080
GSM1920427	replication_case	0.15039614259943346	0.9290901473217614	0.778694004722328	7084
GSM1920428	replication_case	0.15014680015292514	0.9218937805233751	0.77174698037045	7084
GSM1920429	replication_case	0.12092797240480724	0.9371336336803708	0.8162056612755636	7084
GSM1920430	replication_case	0.13265645475383236	0.9108161842090055	0.7781597294551731	7082
GSM1920431	replication_case	0.14756523983892633	0.9435742968898557	0.7960090570509294	7082
GSM1920432	replication_case	0.09334189122393066	0.9254818292505119	0.8321399380265813	7084
GSM1920433	replication_case	0.1502255243087015	0.9354950702974384	0.7852695459887369	7079
GSM1920434	replication_case	0.13990956024042978	0.927779158619708	0.7878695983792783	7080
GSM1920435	replication_case	0.13265349982671193	0.9317428452075284	0.7990893453808164	7082
GSM1920436	replication_case	0.1275235305798773	0.9411747590224468	0.8136512284425695	7082
GSM1920437	replication_case	0.12109045735487467	0.9463574116735565	0.8252669543186818	7081
GSM1920438	replication_case	0.11318763332823834	0.9383420856412349	0.8251544523129966	7082
GSM1920439	replication_case	0.13497603136440373	0.9293252918151711	0.7943492604507674	7083
GSM1920440	replication_case	0.15125188769003783	0.9405198385369103	0.7892679508468725	7084
GSM1920441	replication_case	0.12369360610669988	0.9392375492182656	0.8155439431115658	7076
GSM1920442	replication_case	0.1346908400455623	0.9238630186289163	0.789172178583354	7080
GSM1920443	replication_case	0.12803901103324355	0.9190447022868485	0.791005691253605	7084
GSM1920444	replication_case	0.1510309992678185	0.9369663039788944	0.7859353047110759	7079
GSM1920445	replication_case	0.09152557001626105	0.9320448410733877	0.8405192710571266	7082
GSM1920446	weaver	-0.13446961052843642	0.7866299398004635	0.9210995503288999	7073
GSM1920447	weaver	-0.13603055802403896	0.7819594801574417	0.9179900381814806	7071
GSM1920448	weaver	-0.14657675439906892	0.7726433101586104	0.9192200645576794	7074
GSM1920449	weaver	-0.12142135975183355	0.7868626971797335	0.908284056931567	7077
GSM1920450	weaver	-0.15200010709513556	0.779440759631206	0.9314408667263415	7083
GSM1920451	weaver	-0.10479204300766809	0.8336716138793663	0.9384636568870344	7064
GSM1920452	weaver	-0.14619142886193037	0.7933374237012241	0.9395288525631544	7073
GSM1920453	weaver	-0.13952632194042025	0.7906903758396524	0.9302166977800727	7081
GSM1920454	missense_variant	0.07679725578728691	0.9063691653863895	0.8295719095991025	7080
GSM1920455	missense_variant	0.10973705223622165	0.8919650566023852	0.7822280043661636	7080
GSM1920456	missense_variant	0.0681750727997591	0.8940520110793104	0.8258769382795513	7083
GSM1920457	missense_variant	-0.1405759933844306	0.7976586142032213	0.9382346075876519	7058
GSM1920458	missense_variant	-0.13681025573991357	0.8218091654345502	0.9586194211744637	7076
GSM1920459	missense_variant	0.14813180535480308	0.9248090884092601	0.776677283054457	7081
GSM1920460	missense_variant	-0.12187569944467957	0.8193967110063562	0.9412724104510358	7080
GSM1920461	missense_variant	-0.1307845547488694	0.8105468865267913	0.9413314412756607	7081
GSM1920462	missense_variant	0.09597558120180616	0.9107653080972645	0.8147897268954584	7081
GSM1920463	missense_variant	0.1218512422054111	0.9276192494174964	0.8057680072120853	7082
GSM1920464	missense_variant	-0.148584292231139	0.8073246854113861	0.9559089776425251	7079
GSM1920465	missense_variant	0.01595730405051954	0.9014588268120346	0.8855015227615151	7084
GSM1920466	missense_variant	0.08852437709757421	0.9234112671350045	0.8348868900374303	7082
GSM1920467	missense_variant	0.13076414774176848	0.9315088443746936	0.8007446966329251	7082
GSM1920468	missense_variant	-0.13876076440664908	0.8040130496806064	0.9427738140872555	7081
GSM1920469	missense_variant	-0.12103530032659415	0.8333291824386013	0.9543644827651955	7082
